filepath,result,solve_time_seconds,num_vars,num_assertions,num_uninterpreted_funcs,num_func_applications,max_func_nesting_depth,ast_node_count,max_depth,num_arith_ops,file_size_bytes
mathsat/Wisa/xs-20-14-2-3-3-3.smt2,sat,1.3873,13,1,3,404,1,2074,164,475,11003
20230314-Jaroslav-Bendik-Certora/52759_bec3a2272267494faeecb6bfaf253e3b_11_QF_UFLIA.smt2,unknown,11.0919,2500,79855,70,72728,2,827813,102,204758,4652673
mathsat/Wisa/xs-05-09-5-1-2-5.smt2,unsat,1.2612,13,1,3,104,1,604,44,145,3627
20230314-Jaroslav-Bendik-Certora/25959_5dee2e2f6ef44465a2bea4b085818948_66_QF_UFLIA.smt2,unknown,10.7922,709,7239,43,165330,2,1542436,57,452101,387152
mathsat/Hash/hash_uns_03_07.smt2,unsat,0.0001,3,1,7,114,1,503,53,73,2857
TwoSquares/smtlib.675451.smt2,unsat,1.1964,5,4,1,2,1,58,5,19,784
mathsat/Wisa/xs-06-17-2-2-4-1.smt2,unsat,1.3145,13,1,3,124,1,702,52,167,4105
mathsat/Wisa/xs-12-09-5-5-2-4.smt2,sat,1.3702,13,1,3,244,1,1290,100,299,6987
mathsat/Hash/hash_sat_10_18.smt2,sat,1.0476,10,1,18,3426,3,14147,1057,1827,63871
20230314-Jaroslav-Bendik-Certora/44788_1965f0d6d94d5d8054ba_35_QF_UFLIA.smt2,unsat,3.3262,663,8279,30,8607,2,182683,52,57637,495711
20230314-Jaroslav-Bendik-Certora/44788_1965f0d6d94d5d8054ba_36_QF_UFLIA.smt2,unknown,10.0739,578,3101,21,42276,2,395622,44,115353,178243
mathsat/Wisa/xs-05-12-1-4-2-1.smt2,unsat,1.2647,13,1,3,104,1,604,44,145,3628
20230314-Jaroslav-Bendik-Certora/38347_092cc73601c78e45f4f9_55_QF_UFLIA.smt2,unknown,10.0085,189,517,17,543,1,7294,13,1817,46150
